SECTOR,AREA,LATITUDE,LONGITUDE,H_MIX,H_M_INDUSTRY,H_M_COMERCE,H_M_SERVICES,H_M_AGRICULTURAL,H_NR_INDUSTRY,H_NR_COMERCE,H_NR_SERVICES,H_NR_AGRICULTURAL,H_NR_INSTITUTE,H_NR_LAND,H_NR_PARK,H_NR_MINING,H_NR_COSERV,HOUSES,HOMES,ELECTRIC,STRATA_1,STRATA_2,STRATA_3,STRATA_4,STRATA_5,STRATA_6,AQUEDUCT,SEWAGE,GAS,GARBAGE,INTERNET,POPULATION,MEN,WOMEN,PEOPLE_0_9,PEOPLE_10_19,PEOPLE_20_29,PEOPLE_30_39,PEOPLE_40_49,PEOPLE_50_59,PEOPLE_60_69,PEOPLE_70_79,PEOPLE_80,HIGH_ED,DENSITY,YEAR,MONTH,CASES,TEMP_MEAN,PRECIP_TOT,WET_DAYS,DAYS_OV_90,ELEVATION,NDVI
1,743992.1974,4.4573543,-75.2637002,0.02833638,0.001828154,0.024680073,0.001828154,0,0.007312614,0.019195612,0.004570384,0.004570384,0.001828154,0.010054845,0,0,0,1094,0.877513711,0.864716636,0.379341865,0.328153565,0.077696527,0.070383912,0.005484461,0,0.846435101,0.76416819,0.600548446,0.832723949,0.274223035,128,0.484362783,0.515637217,0.129007037,0.14190774,0.164190774,0.143080532,0.124315872,0.123924941,0.086395622,0.051602815,0.035574668,0.214229867,0.003438208,2013,1,0,18.58387097,62.89608647,3,4,1313.277932,0.59358185
2,449885.1784,4.452580758,-75.24570076,0.016072676,0.001048218,0.013277428,0.00174703,0,0.001397624,0.046820405,0.00524109,0.000349406,0.006289308,0.00698812,0.002096436,0,0.000349406,2862,0.7907058,0.762753319,0.156184486,0.210342418,0.149895178,0.243885395,0.000698812,0.000349406,0.759958071,0.761006289,0.687631027,0.760656883,0.473445143,308,0.457616109,0.542383891,0.104741799,0.139655732,0.160116921,0.13868139,0.122279961,0.124715817,0.104741799,0.067716791,0.037349789,0.343455667,0.013687937,2013,1,7,18.58387097,62.89608647,3,4,1311.067675,0.437005649
3,203030.3363,4.453904643,-75.24311312,0.01062753,0,0.010121457,0.000506073,0,0.002024291,0.028340081,0.006578947,0.000506073,0.000506073,0.012145749,0.00354251,0,0.000506073,1976,0.852226721,0.805161943,0.039979757,0.691801619,0.053643725,0.016700405,0.000506073,0,0.804149798,0.803137652,0.776315789,0.800607287,0.490890688,227,0.452422907,0.547577093,0.098017621,0.127753304,0.164317181,0.126872247,0.120704846,0.149118943,0.104185022,0.064977974,0.044052863,0.322026432,0.02236119,2013,1,4,18.58387097,62.89608647,3,4,1302.88016,0.315103108
4,69687.48451,4.45322421,-75.23814021,0.018348624,0.001310616,0.017038008,0,0,0.002621232,0.0327654,0.003931848,0,0.005242464,0.010484928,0,0,0,763,0.975098296,0.878112713,0.086500655,0.778505898,0.007863696,0,0.001310616,0,0.882044561,0.879423329,0.836173001,0.876802097,0.361730013,105,0.467649857,0.532350143,0.121313035,0.137488107,0.159372027,0.14414843,0.104662226,0.139866794,0.093720266,0.062797336,0.036631779,0.18791627,0.030163235,2013,1,4,18.58387097,62.89608647,3,4,1289.910624,0.338165317
5,623856.9469,4.450934664,-75.23461849,0.02837274,0.001112656,0.023087622,0.003894298,0.000278164,0.002503477,0.013630042,0.006675939,0,0.004450626,0.011682893,0.001390821,0,0,3595,0.912934631,0.858970793,0.195549374,0.619749652,0.03783032,0.003059805,0.000278164,0.000278164,0.858970793,0.85201669,0.805563282,0.850904033,0.408344924,489,0.477456293,0.522543707,0.119619671,0.158674982,0.169205603,0.148451079,0.123300276,0.116143544,0.085676311,0.051221756,0.027706778,0.227379614,0.015678274,2013,1,11,18.58387097,62.89608647,3,4,1279.084487,0.453109197
6,1507655.527,4.451638756,-75.22669754,0.020812686,0.00099108,0.016848365,0,0.002973241,0.00099108,0.030723489,0.004955401,0.002973241,0.011892963,0.060455897,0.001982161,0,0.001982161,1009,0.868186323,0.82259663,0.149653122,0.386521308,0.061446977,0.182358771,0.033696729,0,0.818632309,0.780971259,0.707631318,0.809712587,0.458870168,137,0.48447205,0.51552795,0.110705152,0.165144319,0.168067227,0.13116551,0.125685057,0.128607965,0.095359883,0.051150895,0.024113993,0.28827183,0.001815401,2013,1,4,18.58387097,62.89608647,3,4,1240.155879,0.602629311
7,68664.19285,4.444482348,-75.22316427,0.026359143,0,0.021416804,0.004942339,0,0,0.100494234,0.016474465,0,0.011532125,0,0.001647446,0,0,607,0.915980231,0.855024712,0.075782537,0.612850082,0.161449753,0,0,0,0.855024712,0.853377265,0.780889621,0.851729819,0.490939044,84,0.465186074,0.534813926,0.093637455,0.154861945,0.162064826,0.129651861,0.111644658,0.132653061,0.102641056,0.066026411,0.046818727,0.272509004,0.02426301,2013,1,1,18.58387097,62.89608647,3,4,1202.08063,0.419692445
8,160772.5909,4.447451148,-75.2103696,0.029411765,0,0.024509804,0.004901961,0,0.00245098,0.032679739,0.005718954,0.000816993,0.003267974,0.003267974,0.000816993,0,0.000816993,1224,0.875816993,0.854575163,0.108660131,0.274509804,0.430555556,0.035947712,0,0.000816993,0.855392157,0.852941176,0.842320261,0.855392157,0.629084967,155,0.478640777,0.521359223,0.121682848,0.140453074,0.160194175,0.167313916,0.136245955,0.102588997,0.090291262,0.052750809,0.028478964,0.373139159,0.019219694,2013,1,2,18.58387097,62.89608647,3,4,1138.497183,0.472647803
9,519689.0582,4.443969907,-75.21428473,0.033833938,0.002589332,0.027274297,0.003970309,0,0.001726221,0.06645952,0.016916969,0,0.003797687,0.003452443,0.000863111,0,0,5793,0.886759883,0.865872605,0.036078025,0.679268082,0.146728811,0.002589332,0,0,0.864836872,0.864836872,0.834455377,0.86224754,0.528223718,776,0.464087685,0.535912315,0.115602837,0.157317859,0.164023211,0.137782076,0.123146357,0.131270148,0.086266925,0.050419084,0.034171502,0.259058672,0.029844769,2013,1,18,18.58387097,62.89608647,3,4,1157.273421,0.327517834
10,566957.0046,4.443430052,-75.20300532,0.026739593,0.001519295,0.014889091,0.010331206,0,0.000607718,0.01519295,0.012762078,0,0.002430872,0.003646308,0.000607718,0,0.000303859,3291,0.891522334,0.875721665,0.038286235,0.078395624,0.627164995,0.11972045,0.010938924,0.000607718,0.876329383,0.871771498,0.852932239,0.874506229,0.686721361,401,0.441785091,0.558214909,0.09723261,0.129269509,0.144353029,0.143480429,0.127274994,0.138369484,0.128895537,0.062079282,0.029045126,0.440413862,0.014149221,2013,1,4,18.58387097,62.89608647,3,4,1118.074328,0.370263124
